,Name,Keywords,Website,Picture,Citations,Affiliation,Research Interest,Biography,Overall Rank
10,Zheng Jianmin,"Computer Science and Engineering, Interactive Digital Media, Mathematics, Mechanical & Manufacturing Engineering, Art, Design and Media",['https://personal.ntu.edu.sg/asjmzheng'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00072/57/?filename=asjmzheng_1_2.JPG,7172.0,[],"['CAGD', 'Solid Modeling', 'Digital Geometry Processing', 'Augmented/Virtual Reality', 'Computer Graphics']","Dr Jianmin Zheng is a professor in the School of Computer Science and Engineering of Nanyang Technological University. He received his Bachelor degree and Ph.D. degree from Zhejiang University. His research interests include computer aided geometric design, computer graphics, geometric modeling, CAD, Visualization, and interactive digital media. He has done significant research work in his research areas (such as T-spline technology, subdivision surfaces, rational geometric continuity, surface/surface intersection, curve/surface implicitization, and digital media processing algorithms) and published over 200 papers in international journals and conferences such as SIGGRAPH, ACM TOG, IEEE T-PAMI, IEEE TVCG, and IEEE TIP. He has served as a program committee member for many international conferences. Dr Zheng is an associate editor of six journals including ""Computer-Aided Design"", ""The Visual Computer"" and ""Computers & Graphics"".",B
11,Shen Zhiqi,"Computational Intelligence, Computer Vision and Sensing, Graphics and Interactive Computing, Ageing, Artificial and Augmented Intelligence, Artificial Intelligence, Software Agent Technology",['https://personal.ntu.edu.sg/zqshen'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00227/57/?filename=zqshen_1_2.JPG,6307.0,"['Nanyang Technological University, School of Computer Engineering, Singapore']","['Goal Modeling', 'Software Agents', 'Intelligent Agents', 'Health Games', 'Educational Games']","Dr. Shen Zhiqi is currently a Senior Lecturer and a Senior Research Scientist in School of Computer Engineering since Dec. 2011. He obtained BSc in Peking Univ., MEng in Beijing Univ. of Technology, and PhD in Nan. Tech. Univ. respectively. He has over ten years R&D experiences in both university institutes and leading global industry in Canada and Singapore. He successfully led a number of well known government funded research projects and applied the research results in large scale industry projects. His main research areas are in artificial and computational intelligent agents and their applications in Interactive Digital Media (IDM) and other real world systems in different domains. His research work has been published in reputable journals (IEEE transactions, IEICE transactions, etc.) and top conferences in agent (AAMAS), computational intelligence (WCCI) and artificial intelligence (IJCAI). The agent based game engine developed based on his PhD research has attracted much attention from both research and industrial communities and has been presented at AAMAS 2006, ACM Entertainment Conference 2006 and Microsoft Game conference 2006 and 2007. He has been actively involved in multidisciplinary research through collaborations involving NIE, ADM, SCI, SCE, CED at NTU and leading universities and industry world wide. In recent three years, he has been awarded over three million substantial industry and government linked research funding in agent based research including over one million NRF-MOE-IDM grant, MOE-NIE/LSL grant, HP e-Learning Grant and NGO/ASTAR grant as a Co-PI. Collaborating with Harvard, MIT and NIE/LSL researchers, “Virtual Singapura” built using his agent based game engine is the first immersive, situated and massive multi-user online role playing (MMORP) virtualized learning environment in Singapore for enabling students to learn through exploring in virtual worlds.",A
12,Sourav Saha Bhowmick,"Computer Science and Engineering, Art, Design and Media, Sociology, Biomedical Sciences & Life Sciences","['http://www3.ntu.edu.sg/home/assourav/', 'https://orcid.org/0000-0003-1957-8016']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00915/57/?filename=Assoc Prof Sourav Saha Bhowmick.JPG,5853.0,"['Nanyang Technological University, Singapore']","['Computer Science and Engineering', 'Art, Design and Media', 'Sociology', 'Biomedical Sciences & Life Sciences']","Sourav S Bhowmick is a computer scientist and an educator. He leads the Data Management Research Group at NTU (DANTE). He is also the Research Group Lead of Data Management & Analytics Group in SCSE. He was a Visiting Associate Professor from 2007 to 2013 at the Biological Engineering Division, Massachusetts Institute of Technology (MIT), USA. He was a Senior Visiting Professor at Fudan University in 2013. He was inducted into Distinguished Members of the ACM in 2020 for ""outstanding scientific contributions to computing"". Sourav’s core research expertise is in data management, human-data interaction, and data analytics. He is more excited to solving problems not within the mainstream of these fields that require new perspectives instead of yet another solution to a traditional problem. Consequently, his research interests are multi-area (e.g., data management and HCI, data management and IR) and multi-disciplinary (e.g., system biology and data analytics, social psychology and data analytics, cognitive psychology and data management, abstract art and social analytics, adult learning and data management) in flavor, focusing primarily on developing novel paradigms, algorithms, technology, and software to improve efficiency of software as well as humans. Sourav has published more than 100 papers in top-tier data management, data mining, multimedia, bioinformatics, and systems biology venues such as ACM SIGMOD, VLDB, ACM WWW, ACM MM, ACM SIGIR, VLDB Journal, Bioinformatics, and Biophysical Journal. The common thread running through his research is a focus on going beyond papers to build usable novel prototypes. He has received Best Paper Awards at ACM CIKM 2004 and ACM BCB 2011 for papers related to evolution mining and biological network summarization, respectively. His work on influence maximization was nominated for the best paper award in SIGMOD 2015. He has co-authored books on “Summarizing Biological Networks” and “Human Interaction with Graphs”, which are published by Springer-Verlag (May 2017) and Morgan & Claypool (August 2018) publishers, respectively. His research is supported by over S$4M in research grant from the Singapore-MIT Alliance and the Ministry of Education (4 Tier 2s, 6 Tier 1s). Sourav's research has been deployed in the real-world. His XML data management framework for biological data was part of the product of a local startup HeliXense Pte Ltd in 2002. More recently, his data-driven conflicts of interest (COI) detection system called CLOSET is being used by several premium conferences. Sourav regularly serves as a reviewer for premium data management and data analytics conferences (e.g., SIGMOD, VLDB) and journals (e.g., TODS, VLDB Journal). He has served/serving as a program chair/co-chair of several venues including ACM CIKM 2020, IEEE BigComp 2018, DASFAA 2014. He has also served/serving as Group Leader (area chair) for VLDB 2022, SIGMOD 2021, ICDE 2021, and SIGMOD 2019. He is a member of the steering committee of DASFAA. Sourav has been panelist, tutorial and keynote speaker in several international conferences (including SIGMOD, VLDB). He has also been reviewer of external Ph.D dissertations, national and international grant proposals, and external tenure applications. He is a member of the editorial boards of several international journals (e.g., IEEE TKDE, JASIST, SIGMOD Record). He is a co-recipient of the ""VLDB Service Award"" in 2018 from the VLDB Endowment for his contribution in designing an efficient PVLDB proceedings management framework. He is also conferred ""Distinguished PVLDB2020 Review Board Member Award"" in 2020 for ""outstanding services to VLDB 2020 and data management community"". Sourav have strong interest and passion for teaching undergraduate and graduate students. He was nominated for the Excellence in Teaching Award in 2020, 2005, 2004, and 2003. He was recipient of Lecturer of the Year Award (2002-2003) for Year 1 undergraduate course. Sourav have been invited twice (2011 and 2013) by the Database Society of Japan to mentor graduate students.",A
13,Douglas Leslie Maskell,"Computer Science and Engineering, Electrical and Electronic Engineering, Energy, Computing Hardware and Architecture, Hardware and Embedded Systems",['http://www3.ntu.edu.sg/home/asdouglas/'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp01059/57/?filename=asdouglas_1_2.JPG,5332.0,"['Nanyang Technological University, Singapore']","['Computer Science and Engineering', 'Electrical and Electronic Engineering', 'Energy', 'Computing Hardware and Architecture', 'Hardware and Embedded Systems']","Associate Professor Douglas Maskell is currently in the School of Computer Engineering since 2001. He received his Bachelor degree in Electrical and Electronics Engineering from James Cook University, Australia. He obtained the M.Eng.Sc. and and Ph.D. degrees from James Cook University, Australia. His research interests include reconfigurable computing and renewable energy systems.",B
14,Seah Hock Soon,"Computer Vision and Sensing, Graphics and Interactive Computing, Parallel and Distributed Computing, Animation, Interactive Media",['https://personal.ntu.edu.sg/ashsseah/'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00345/57/?filename=ashsseah_1_2.JPG,3458.0,"['Nanyang Technological University, Singapore']","['Computer Graphics', 'Computer Animation', 'Computer Games']","Dr Seah Hock Soon is a professor at the School of Computer Science and Engineering (SCSE) at Nanyang Technological University (NTU), Singapore. He is the Director of the Centre for Augmented and Virtual Reality (CAVR) leading the overall R&D strategy and management of the College-level centre.",C
15,Hui Siu Cheung,"Computer Science and Engineering, Info-Communication Technology, Interactive Digital Media, Internet & Communications, Mathematics",['http://www3.ntu.edu.sg/home/asschui/'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00700/57/?filename=asschui_1_2.JPG,7756.0,"['Nanyang Technological University, Singapore, Singapore']","['data mining', 'text mining', 'natural language procssing', 'semantic search', 'question-answering community']","Assoc Prof Hui Siu Cheung is currently in the Division of Information Systems, School of Computer Engineering since 1990. He received his B.Sc. degree in Mathematics in 1983 and D. Phil in 1987 from the University of Sussex, UK. He worked in IBM China/Hong Kong Corporation as a system engineer from 1987 to 1990. His current research interests include data mining, Web mining, information retrieval, natural language processing, mathematical data mining, intelligent tutoring systems and Semantic Web. He has published over 100 international journal papers and 80 conference papers.",A
16,Huang Shell Ying,"Business and Management, Computer Science and Engineering, Info-Communication Technology, Systems and Engineering Management, Parallel and Distributed Computing",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00643/57/?filename=assyhuang_1_2.JPG,1790.0,[],"['simulation optimization', 'computational logistics', 'intelligent agents']","Dr. Huang Shell Ying is a senior lecturer with the School of Computer Science and Engineering, Nanyang Technological University.  She obtained both her B.Sc(Eng) in Computing Science with Honours and her PhD from Imperial College, London.  Her research interests are in simulation based optimization heuristics, metaheuristics, computational science, computational logistics  and intelligent decision support systems.  She has been the principle investigator or co-principle investigator for a number of projects funded by Maritime and Port Authority of Singapore, NSTB (now the ASTAR), GINTIC (now the SimTech), PSA International, Jurong Port Pte Ltd, Surbana Consultants, APL and NTU.  She has published about 100 publications in books, international journals and international conferences.  She was awarded the Minister’s Innovation (Merit) Award by Minister for Transport of Singapore, Mr. Raymond Lim in 2007 for her contribution in the research work in optimization of container port operations.Teaching expriences:Courses she has given lectures and tutorials:  Compiler Techniques, Algorithms,  Advanced Algorithms, Simulation & Modelling,  Introduction to Programming, Discrete Mathmatics, Engineering Mathematics.Courses she has given tutorials: Operating Systems, Artificial Intelligence, Data Structures, Object-oriented Programming.Recent publications:Huang Shell Ying, Li Ya. (2017). Yard Crane Scheduling to Minimize Total Weighted Vessel Loading Time in Container Terminals. Flexible Services and Manufacturing Journal, 29(3), 689-720.Cheng Siang Lim and Shell Ying Huang. (2017). Proceedings of 2017 Future Technologies Conference: A Randomized Heuristic Algorithm for Cyclic Routing of UAVs. Future Technologies Conference 2017 (pp. 462-469)Vancouver, Canada: IEEE, Vancouver.S. Y. Huang, Y. Li and N. K. X. Tay. (2017). REAL-TIME SCHEDULING FOR TWIN YARD CRANES IN CONTAINER TERMINALS. International Conference on Computers and Industrial Engineering (CIE47).S. Y. Huang, Y. Li and W. J. Hsu. (2017). A TWO-LEVEL DYNAMIC PROGRAMMING ALGORITHM FOR QUAY CRANE SCHEDULING IN CONTAINER TERMINALS. The 47th International Conference on Computers and Industrial Engineering.Shell Ying Huang, Wen Jing Hsu, Hui Fang and Tiancheng Song. (2016). MTSS – a Marine Traffic Simulation System and Scenario Studies for a Major Hub Port. ACM Transactions on Modeling and Computer Simulation, 27(1).Shell Ying Huang, Ya Li, Meimei Lau and Teck Chin Tay. (2014). YARD CRANE DEPLOYMENT IN CONTAINER TERMINALS. 2014 Winter Simulation Conference.Shell Ying Huang, Ya Li and Xi Guo. (2014). YARD CRANE DISPATCHING TO MINIMIZE VESSEL TURNAROUND TIMES IN CONTAINER TERMINALS. 2014 Winter Simulation Conference.Shell Ying Huang and Zhun Chong Tay. (2013). A Framework for Automated Real-Time Management of Container Handling Equipment. The 2013 International Conference on Logistics and Maritime Systems.Shell Ying Huang and Xi Guo. (2013). Reducing Simulation Costs of Embedded Simulation in Yard Crane Dispatching in Container Terminals. SIGSIM-PADS’13.Shell Ying Huang, Wen Jing Hsu, Hui Fang and Tiancheng Song. (2013). A Marine Traffic Simulation System for Hub Ports. SIGSIM-PADS’13.Xi Guo, Shell Ying Huang. (2012). Dynamic Space and Time Partitioning for Yard Crane Workload Management in Container Terminals. Transportation Science, 46(1), 134-148. Shell Ying Huang, Wen Jing Hsu and Yuxiong He. (2011). Assessing Capacity and Improving Utilization of Anchorages. Transportation Research Part E: Logistics and Transportation Review, 47E(2), 216-227. Shell Ying Huang, Huiliang Zhang. (2011). Activity Scheduling for a Robotic Caretaker Agent for the Elderly. International Journal of Intelligent Information and Database Systems , 5(1), 3-23.",B
17,Vun Chan Hua Nicholas,"Computer Science and Engineering, Electrical and Electronic Engineering, Info-Communication Technology, Internet & Communications, Computing Hardware and Architecture",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00839/57/?filename=aschvun_1_2.JPG,,"['Nanyang Technological University, Singapore, Singapore']","['Computer Science and Engineering', 'Electrical and Electronic Engineering', 'Info-Communication Technology', 'Internet & Communications', 'Computing Hardware and Architecture']","Assoc Prof Nicholas Vun has been with the School of Applied Science and School of Computer Engineering since 1991. He received his B.Eng (1st class Honours) and M.Eng.Sci. degrees in Electrical & Computer System Engineering from Electrical Department of Monash University, Australia, and PhD from School of Computer Engineering of NTU. His main research interests include Embedded signal conversion and processing, as well as Embedded System’s design and applications. He has more than 50 publications in conference proceedings and journals. He was awarded NTU's 'Teacher of the Year' award in 1994.Prior to joining NTU, he worked with Ausmode Power Systems and Exicom Power Systems in Australia as Senior Electronics Design Engineer, specializing in the design of microprocessor based high power and high frequency switch mode power supply and embedded control systems for telecommunication equipment. While teaching in NTU, he has continue to provide consultation services and conduct professional courses for the industry in areas of power supply design, embedded control system design and computer system technologies related topics to companies in Malaysia, Singapore, India and Australia. Nicholas Vun is a registered 'Professional Engineer' with Singapore's Professional Engineers Board, and a Senior Member of IEEE. He is the founding chairman of the IEEE Consumer Electronics Society of Singapore, and served as the General Chairman of the 2011 as well as 1997 IEEE International Symposium on Consumer Electronics Conference, and most recently, the Technical Program Chair of the 2016 IEEE International Conference on Consumer Electronics at Las Vegas. He has continue to involve in the various ISCE conferences’ technical committee, and has also held positions as Vice Chair, Treasurer and committee members of the IEEE  CE Chapter in Singapore over the years. He has also served as the Associate Editor of IEEE Consumer Electronics Magazine and the Quality Chair for IEEE CES.",B
18,Quek Hiok Chai,"Biomedical Sciences & Life Sciences, Computer Science and Engineering, Electrical and Electronic Engineering, Financial Engineering & Risk Management, Machines & Systems",['http://www.c2i.ntu.edu.sg/People/Research/Quek_Hiok_Chai.html'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00707/57/?filename=ashcquek_1_2.JPG,8289.0,"['Nanyang Technological University, Singapore']","['Biomedical Sciences & Life Sciences', 'Computer Science and Engineering', 'Electrical and Electronic Engineering', 'Financial Engineering & Risk Management', 'Machines & Systems']","Dr Chai Quek is currently in the School of Computer Engineering since 1990. He received his Bachelor degree in Science and Ph.D. degrees from the Heriot-Watt University (Edinburgh). His research interests include Neurocognitive informatic, Biomedical Engineering and Computational Finance. He has done significant research work his research areas and published over 200 top quality international conference and journal papers. He has been often invited as a programme committee member or referee and reviewer for a number of premier conferences and journals, including IEEE TNN, TEvC etc. Dr. Quek is a senipr member of IEEE. He is also a member of the IEEE Technical Committee on Computational Finance and Economics. He has constantly and sucessfully groomed several high calibre research manpower who are awarded prestigious Singapore Millenium Foundation Scholar and Fellowships, Lee Kuan Yew Fellowship and A*Star Scholarhips.",B
19,Goh Wooi Boon,"Computer Science and Engineering, Electrical and Electronic Engineering, Interactive Digital Media, Machines & Systems",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00693/57/?filename=aswbgoh_1_2.JPG,1431.0,['Nanyang Technological University'],"['Human Computer Interaction', 'Computer Vision']","Wooi-Boon Goh received a B.Sc (1st Class Hons) in Computer Science and Electronic Engineering from the University of Birmingham, UK (1984), a M.Phil from University of Warwick, UK (1992), and a Ph.D. from Nanyang Technological University, Singapore (2006). He is currently an Associate Professor and Associate Chair (Faculty) in the School of Computer Science and Engineering, Nanyang Technological University, and his research interests include human-computer interaction and computer vision. Before joining NTU, he was senior engineer and later engineering section manager at the Mechanization and Automation department of Hewlett Packard Singapore. His industrial engineering expertise is in the area of developing robot-assisted automation systems.",A
20,Chan Syin,"Info-Communication Technology, Computer Science and Engineering, Interactive Digital Media, Internet & Communications",['http://www3.ntu.edu.sg/home/asschan/'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00691/57/?filename=Assoc Prof Chan Syin.JPG,,[],"['Info-Communication Technology', 'Computer Science and Engineering', 'Interactive Digital Media', 'Internet & Communications']","Dr. Chan Syin is currently Associate Professor in the School of Computer Engineering, Nanyang Technological University. She graduated with first class honours in Electrical Engineering from the National University of Singapore in 1987 and obtained the PhD degree in Computer Science from the University of Kent at Canterbury, United Kingdom in 1993. Her research interests include multimedia information retrieval, web information extraction, ontology applications and multimedia understanding.",A
21,Lau Chiew Tong,"Info-Communication Technology, Internet & Communications, Computer Networks and Communications",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00670/57/?filename=asctlau_1_2.JPG,,[],"['Info-Communication Technology', 'Internet & Communications', 'Computer Networks and Communications']","Chiew-Tong Lau received his B.Eng. degree from Lakehead University in 1983 and M.A.Sc. and Ph.D. degrees in Electrical Engineering from the University of British Columbia in 1985 and 1990 respectively. He is currently an Associate Professor in the School of Computer Engineering, Nanyang Technological University, Singapore. His main research interests are in wireless communications.",B
22,Thambipillai Srikanthan,"Computer Science and Engineering, Electrical and Electronic Engineering, Cyber Security and Forensics, Hardware and Embedded Systems, Computing Hardware and Architecture",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00841/57/?filename=Prof Thambipillai Srikanthan_1.jpg,,[],"['Computer Science and Engineering', 'Electrical and Electronic Engineering', 'Cyber Security and Forensics', 'Hardware and Embedded Systems', 'Computing Hardware and Architecture']","Dr Srikanthan joined Nanyang Technological University (NTU), Singapore in June 1991. At present, he holds a full professor and joint appointment as Director of a 100 strong Centre for High Performance Embedded Systems (CHiPES). He founded CHiPES in 1998 and elevated it to a university level research Centre in February 2000. He has also served as founding Director of the Intelligent Devices and Systems (IDeAS) cluster for 2 years (2005-2007). His other appointments include at the university level include Chair of the review committee for promotion and tenure (SRCPT) as from April 2007 and member of the Nanyang Business School (NBS) Dean Search Committee (Feb 2006 to Oct 2007). His research interests include design methodologies for complex embedded systems, architectural translations of compute intensive algorithms, computer arithmetic and high-speed techniques for image processing and dynamic routing. He has published more than 250 technical papers including 60 journals in IEEE Transactions, IEE Proceedings and other reputed international journals. His services as a key consultant to embedded systems industry, both locally and internationally are continually being sought for.He contributed to all aspects of the curriculum development and operation of the undergraduate and post graduate programs. In particular, he proposed and developed a Master of Science course in Embedded Systems Engineering, based on his expertise in this emerging field of Computer Engineering. He was nominated for the ‘Best Teacher’ award for six consecutive years and won this award in 2002. He was the finalist and Merit award winner at the National Business Plan Competition on Voice Authentication at the National Business Plan Competition in 2003. He was awarded the Public Administration Medal (Bronze) on 2006 National Day in recognition of his contributions to education in Singapore.",B
23,Lam Siew Kei,"Computer Science and Engineering, Electrical and Electronic Engineering, Hardware and Embedded Systems, Computing Hardware and Architecture",['https://personal.ntu.edu.sg/assklam/'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp00901/57/?filename=assklam_1_2.JPG,1699.0,"['Nanyang Technological University (NTU), School of Computer Science and Engineering, Singapore']","['Custom Computing', 'Embedded Vision', 'Edge AI', 'Embedded System Security', 'Transportation Analytics']","Siew Kei received his BASc, MEng and PhD from School of Computer Engineering, NTU. He was a Visiting Research Fellow in the Imperial College of London, University of Warwick, and RWTH Aachen, Germany. He is currently an Associate Professor in School of Computer Science and Engineering (SCSE), NTU. His research investigates custom computing techniques to meet the challenging demands for performance, energy-efficiency, cost, reliability, and security in edge intelligence.",B
24,Qian Kemao,"Electrical and Electronic Engineering, Interactive Digital Media, Computer Science and Engineering, Mechanical & Manufacturing Engineering, Physics",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00891/57/?filename=mkmqian_1_2.JPG,11593.0,[],"['Optical metrology', 'image processing', 'parallel computing', 'computer vision', 'experimental mechanics']","Dr Qian Kemao is currently in the School of Computer Engineering,Nanyang Technological University. He received his Bachelor, Master and Ph.D. degrees from the University of Science and Technology of China in 1994, 1997 and 2000, respectively. His research interests include Optical metrology, image processing and computer animation.",B
25,Cham Tat Jen,"Computer Science and Engineering, Info-Communication Technology, Interactive Digital Media",['https://personal.ntu.edu.sg/astjcham/index.html'],https://dr.ntu.edu.sg/cris/rp/fileservice/rp01067/57/?filename=astjcham_1_2.JPG,5502.0,[],['Computer Vision'],"Tat-Jen is an Associate Professor in the School of Computer Science & Engineering, Nanyang Technological University. He received his BA in Engineering in 1993 and his PhD in 1996, both from the University of Cambridge. Tat-Jen was subsequently conferred a Jesus College Research Fellowship in Science in 1996-97. From 1998 to 2001, he was a research scientist at DEC/Compaq Research Lab in Cambridge, MA, USA. After joining NTU in 2002, he was concurrently a Faculty Fellow in the Singapore-MIT Alliance Computer Science Program in 2003-2006.In research., Tat-Jen received overall best paper prizes at PROCAMS’05, BMVC’94, and in particular at ECCV'96, while his PhD student Minh-Tri Pham was awarded the PREMIA 2nd best student paper prize for their ICCV'2007 paper. Tat-Jen is an inventor on eight patents. He is currently a co-Principal Investigator in the NRF BeingTogether Centre (BTC) on 3D Telepresence, a collaboration between NTU and UNC at Chapel Hill.Tat-Jen is an Area Chair for ICCV’19, and has served as an editorial board member for the International Journal of Computer Vision (IJCV), a General Chair for ACCV’14, an Area Chair for ICCV'09, ACCV’07, ICCV’05 and ACCV’06, Associate Editor for IJIG and IPSJ-CVA, a Program Chair for MMM’07, and a co-founder for the PROCAMS workshop series in 2003. Nationally, he has been on various review panels for A*STAR and the National Research Foundation (NRF). Tat-Jen has served for a number of terms on the NTU Senate, and previous roles held include being the Director for the Centre for Multimedia & Network Technology (CeMNet) and an affiliate faculty with the Singapore-ETH Centre’s Future Cities Lab.",A
26,Li Fang,"Internet & Communications, Computer Science and Engineering",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp01161/57/?filename=Dr Li Fang.JPG,2978.0,"['Nanyang Technological University, School of Computer Engineering, Singapore']","['Internet & Communications', 'Computer Science and Engineering']","Ms Li Fang is a lecturer with the School of Computer Engineering, Nanyang Technological University (NTU), Singapore.  Her previous research work was conducted in EEE, NTU. She received her Master degree from NTU in 2002.      She was a System Analyst at the Institute of Information Industry, China. Her research interests include image processing, image retrieval, pattern recognition, human-computer interaction, computer networks, and network security. She is a member of IEEE and PREMIA(Singapore).",B
27,Lee Bu Sung,"Info-Communication Technology, Internet & Communications, Computer Science and Engineering, Computer Networks and Communications, Parallel and Distributed Computing",,https://dr.ntu.edu.sg/cris/rp/fileservice/rp00531/57/?filename=Assoc Prof Lee Bu Sung.JPG,14656.0,"['Nanyang Technological University, Singapore']",['General interest in the area of Networks and …'],"Bu Sung Lee received his B.Sc. (Hons) and PhD from the Electrical and Electronics Department, Loughborough University of Technology, UK in 1982 and 1987 respectively. He has held various senior administrative positions(Head of Division, Associate Chair for Research) in the School of Computing Engineering, Nanyang Technological University over the period from 2003-2010. He is currently an Associate Professor with the School of Computer Engineering, Nanyang technological University. He is currently involved in the Joint NTU-UBC Research Center of Excellence in Active Living for the Elderly (LILY) as its  Silver Cloud Programme Director. The later deals with developing deploying services to extend the active living of elderly community.  In addition, to the academic activities he also holds a Joint appointment as Director, Service Platform Lab, HP Labs. Singapore since July 2010 – June 2012.  He currently holds a position as Director, International Networks at National SuperComputing Center, Singapore.  He has been actively involved with the Asia-Pacific research and education network since the formation of Singapore Advance Research and Education Network(SingAREN). He is the founding president of SingAREN society, 2003-2007, and is currently the President of SingAREN(2011-2015).  Since 2004, he is a member of the technical management team of Trans-Eurasia Information Network (TEIN-2); the first large scale is the first large-scale research and education network for the Asia-Pacific. It connects ten countries in the region, and provides direct connectivity to Europe’s GÉANT2 network.  His involvements continue into the new phase of the project TEIN-3 and TEIN-4. He was elected the founding Chair of the governors of the Trans-Eurasia Information Network Cooperation Center(TEIN*CC), in May 2012,  which manages the TEIN-4 project.  Bu-Sung Lee has published over 300 peer preview conference papers, and 100 journal papers. His research areas cover both Grid/Cloud Computing and network. Lately he has carried out research in the area of application of Data Analytics and Big Data.  He has received a number of research grants. He is the co-author of a number of papers that has won Best Paper awards and demonstration award.  He has given numerous Invited/Keynote address in conferences and played an active role in the academic community in organizing conferences.Bu-Sung Lee, has been awarded numerous grants over the years. In early 2014, he successfully completed the A*STAR thematic grants “User and Domain Driven Data Analytics as a Service framework”.  The project developed a data analytics platform using Cloud resources and applied it to energy efficiency in building.",B
28,Wentong Cai,"Computer Science and Engineering, Parallel and Distributed Computing","['http://personal.ntu.edu.sg/aswtcai/', 'https://orcid.org/0000-0002-0183-3835']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00964/57/?filename=Prof Wentong Cai.JPG,7445.0,"['Nanyang Technological University, Division of Computer Science, School of Computer Engineering, Singapore', 'University of Exeter, UK']","['Parallel and Distributed Computing', 'Modeling and Simulation']","Wentong CAI is a Professor in the School of Compute Science and Engineering (SCSE) at Nanyang Technological University (NTU), Singapore.  He received his Ph.D. in Computer Science from University of Exeter (UK) in 1991.  He was a Post-doctoral Research Fellow at Queen's University (Canada) before joining NTU as a Faculty Member in 1993. Prof Cai’s expertise is mainly in the areas of Modelling and Simulation (particularly, modelling and simulation of large-scale complex systems, and system support for parallel and distributed simulation and distributed virtual environments).  He has published extensively in these areas and has received a number of best paper awards at the international conferences for his research (e.g., DS-RT’18, SIGSIM PADS’18, SIGSIM PADS’17, DS-RT’09, PADS’06, DS-RT’04, and ESS’03).  His recent research also involves using Agent-based Modelling techniques to understand the effect of individual behaviour on system-level dynamics and to develop scalable simulation applications (e.g., traffic and crowd simulation).He has been actively collaborating with Singapore industries (e.g., MPA, STEE, EADS, SAP, D-SIMLAB, and SGH) and research institutes (e.g., IHPC and SIMTech) on simulation projects.  Over his career, he has been successful in attracting competitive research funding from various funding agencies (e.g., MOE, A*STAR, NRF, and DSTA).  He has graduated 11 research Master and 15 PhD students as sole/main supervisor.  Prof Cai is a member of the IEEE and the ACM.  He has been an associate editor of the ACM Transactions on Modelling and Computer Simulation (TOMACS) since 2007, an editor of the Future Generation Computer Systems (FGCS) since 2011.  He is also an editor of the Journal of Simulation (JOS).  He has chaired a number of international conferences in the areas of Modelling and Simulation, and Parallel and Distributed Computing.  Most recent ones include: SIGSIM PADS’17, DS-RT’15, CloudCom’14, ICPADS’12, and MACOTS’11.",B
29,Yeo Chai Kiat,"Electrical and Electronic Engineering, Info-Communication Technology, Interactive Digital Media, Computer Science and Engineering, Internet & Communications, Computer Networks and Communications","['https://personal.ntu.edu.sg/asckyeo/', 'https://orcid.org/0000-0002-7618-1472']",https://dr.ntu.edu.sg/cris/rp/fileservice/rp00963/57/?filename=Assoc Prof Yeo Chai Kiat.JPG,4216.0,"['School of Computer Engineering, Nanyang Technological University, Singapore, Singapore']","['Anomaly Detection', 'Predictive Analytics', 'Machine Learning', 'Artificial Intelligence', 'Wireless Networks']","Associate Professor Yeo Chai Kiat is currently in the School of Computer Science and Engineering (SCSE). She received her Ph.D. in electrical and electronic engineering from the Nanyang Technological University and her MSc and B.Eng. (1st class honours) in electrical and electronic engineering from National University of Singapore. She has spent six years with Singapore Electronic and Engineering Limited (SEEL), a company now subsumed under Singapore Technologies Engineering, first as an engineer and later held the concurrent position of Assistant Principal Engineer and Deputy Program Manager.A/P Yeo is currently the Deputy Director and Programme Director of Singtel Cognitive land Artificial Intelligence Lab for Enterprises@NTU (SCALE@NTU). She is also the Assistant Chair (Faculty) of SCSE. She was the Associate Chair (Academic) of SCSE from Dec 2007 to May 2017 and the Sub Dean of School of Applied Science (predecessor of SCSE)  from Jun 1996 to May 1999. She has been a Visiting Professor with Osaka University, Graduate School of Information Science and Technology. She was Deputy Director of Centre for Multimedia and Network Technology (CeMNet) from Jul 2006 until Jun 2008.A/P Yeo has published over 280 research papers in international journals and conference proceedings in the areas of anomaly detection, predictive analytics, machine learning, AI, mobile networks, internet technologies, overlay networks and speech processing. She has also directed a number of funded projects in these areas.",B
